"year","mm","dd","stime","period","sampid","transamp","transect","site","boat","latitude","longitude","region","label","inbplot","plot.num","new.numb","sample","cluster","depth","hab.type","sub.major","sub.minor1","sub.minor2","ab.total","i.total","sl.larv.n","sl.larv.adj","comment"
1993,,,,0,1,,"18","78",1,46.45119665,-84.2678051,2,"",1,"4",4001,2,,6,1,7,5,6,0,0,0,0,""
1993,,,,0,2,,"18","103",1,46.45760217,-84.24868095,2,"",0,,,2,,7,1,5,7,6,0,0,0,0,""
1993,,,,0,3,,"18","104",1,46.45783303,-84.24791892,2,"",0,,,2,,6,1,7,6,9,0,0,0,0,""
1993,,,,0,4,,"18","105",1,46.45807883,-84.24715679,2,"",0,,,2,,4,1,7,6,8,0,0,0,0,""
1993,,,,0,5,,"17","106",1,46.45852029,-84.24777735,2,"",0,,,2,,4,1,7,6,8,0,0,0,0,""
1993,,,,0,6,,"17","107",1,46.45829189,-84.24849928,2,"",0,,,2,,6,1,7,6,9,0,0,0,0,""
1993,,,,0,7,,"17","108",1,46.45795804,-84.24941392,2,"",0,,,2,,7,1,7,8,6,0,0,0,0,""
1993,,,,0,8,,"17","109",1,46.45774055,-84.25016759,2,"",0,,,2,,7,1,7,6,8,0,0,0,0,""
1993,,,,0,9,,"17","110",1,46.45750583,-84.25074005,2,"",0,,,2,,8,1,7,6,8,0,0,0,0,""
1993,,,,0,10,,"17","111",1,46.45726668,-84.25161148,2,"",0,,,2,,7,1,7,6,9,0,0,0,0,""
1993,,,,0,11,,"17","112",1,46.45699854,-84.25222807,2,"",0,,,2,,8,1,7,6,8,0,0,0,0,""
1993,,,,0,12,,"17","113",1,46.45668165,-84.25312645,2,"",0,,,2,,7,1,7,6,8,0,0,0,0,""
1993,,,,0,13,,"17","114",1,46.45650557,-84.25386641,2,"",0,,,2,,7,1,7,6,8,0,0,0,0,""
1993,,,,0,14,,"17","115",1,46.45623167,-84.25454343,2,"",0,,,2,,6,1,7,6,8,0,0,0,0,""
1993,,,,0,15,,"17","116",1,46.45595883,-84.25533591,2,"",0,,,2,,4,1,5,8,7,0,0,0,0,""
1993,,,,0,16,,"17","117",1,46.45557362,-84.25662536,2,"",0,,,2,,4,1,7,6,9,0,0,0,0,""
1993,,,,0,17,,"17","118",1,46.45526805,-84.25729979,2,"",0,,,2,,4,2,5,4,3,0,0,0,0,""
1993,,,,0,18,,"17","119",1,46.45503887,-84.25812728,2,"",0,,,2,,9,2,7,8,9,0,0,0,0,""
1993,,,,0,19,,"17","120",1,46.45480743,-84.25888314,2,"",0,,,2,,7,2,7,8,9,0,0,0,0,""
1993,,,,0,20,,"17","121",1,46.45455247,-84.25957427,2,"",0,,,2,,4,1,7,8,9,0,0,0,0,""
1993,,,,0,21,,"17","122",1,46.45426693,-84.26043531,2,"",0,,,2,,3,2,3,4,9,0,0,0,0,""
1993,,,,0,22,,"17","123",1,46.45401168,-84.26121226,2,"",0,,,2,,4,1,7,5,6,0,0,0,0,""
1993,,,,0,23,,"17","124",1,46.45372469,-84.26193428,2,"",0,,,2,,4,2,7,5,9,0,0,0,0,""
1993,,,,0,24,,"17","125",1,46.45348524,-84.26269922,2,"",0,,,2,,3,2,7,5,9,0,0,0,0,""
1993,,,,0,25,,"17","126",1,46.45320636,-84.26344451,2,"",0,,,2,,3,2,5,7,9,0,0,0,0,""
1993,,,,0,26,,"17","127",1,46.45303302,-84.26408372,2,"",1,"14",14,2,,3,2,5,3,4,0,0,0,0,""
1993,,,,0,27,,"17","128",1,46.4527369,-84.26503457,2,"",1,"14",14,2,,4,2,5,6,4,0,0,0,0,""
1993,,,,0,28,,"17","129",1,46.45247661,-84.26572983,2,"",1,"14",14,2,,6,1,5,6,9,0,0,0,0,""
1993,,,,0,29,,"17","130",1,46.45219804,-84.26648563,2,"",1,"14",14,2,,9,2,7,5,6,0,0,0,0,""
1993,,,,0,30,,"17","131",1,46.45192412,-84.26711982,2,"",1,"14",14,2,,9,1,6,7,9,1,0,6,14.2186001,""
1993,,,,0,31,,"17","132",1,46.4516947,-84.26787979,2,"",1,"4",4001,2,,6,1,6,7,9,0,0,0,0,""
