"year","sampid","length","sl.larv.adj"
1993,30,61,1.715266556
1993,30,77,2.031794996
1993,30,78,2.05569572
1993,30,82,2.156964772
1993,30,105,2.959129026
1993,30,112,3.299749031
1993,32,64,1.766132613
1993,35,35,1.394356483
1993,43,55,1.623441714
1993,43,71,1.89933471
1993,43,93,2.488397444
1993,43,125,4.097204715
1993,44,68,1.839624929
1993,89,21,1.286189815
1993,135,51,1.568871901
1993,138,64,1.766132613
1993,138,67,1.820616001
1993,145,36,1.403491442
1993,145,53,1.595532092
1993,148,44,1.484615251
1993,149,117,3.57873766
1993,150,0,1.176930195
1993,159,41,1.452440055
1993,159,48,1.53110263
1993,159,49,1.543405207
1993,159,50,1.555992764
1993,159,61,1.715266556
1993,159,114,3.407526808
1993,202,31,1.359838485
1993,203,113,3.353020919
1993,203,119,3.699590244
1993,203,129,4.394308302
1993,208,35,1.394356483
1993,217,37,1.412838006
1993,232,31,1.359838485
1993,236,86,2.267948196
1993,238,38,1.422401076
1993,248,27,1.328341846
1993,248,47,1.51907858
1993,248,73,1.941482047
1993,252,80,2.105170918
1993,268,63,1.748787535
1993,268,71,1.89933471
1993,273,111,3.247683207
1993,313,78,2.05569572
1993,316,111,3.247683207
1993,316,134,4.806080807
1993,324,78,2.05569572
1993,326,63,1.748787535
1993,326,118,3.638472101
1993,335,49,1.543405207
1993,357,31,1.359838485
1993,368,22,1.292819178
1993,368,43,1.473643666
1993,368,93,2.488397444
1993,368,124,4.027084666
1993,369,92,2.454700445
1993,375,47,1.51907858
1993,384,30,1.351691819
1993,385,70,1.878973966
1993,390,57,1.652659321
1993,410,76,2.008435379
1993,413,98,2.668958869
1993,413,136,4.984452848
1993,414,33,1.376702322
1993,414,50,1.555992764
1993,416,37,1.412838006
1993,416,73,1.941482047
1993,416,94,2.522875007
1993,416,113,3.353020919
1993,416,122,3.891571136
1993,419,30,1.351691819
1993,419,31,1.359838485
1993,419,35,1.394356483
1993,419,37,1.412838006
1993,419,38,1.422401076
1993,419,55,1.623441714
1993,419,57,1.652659321
1993,419,80,2.105170918
1993,419,103,2.871424677
1993,421,62,1.731835147
1993,423,31,1.359838485
1993,423,62,1.731835147
1993,423,141,5.467817347
1993,424,84,2.211185946
1993,431,127,4.242355267
1993,456,80,2.105170918
1993,458,50,1.555992764
1993,493,32,1.368173862
1993,502,31,1.359838485
1993,522,84,2.211185946
1993,522,87,2.297319224
1993,524,54,1.609327128
1993,552,27,1.328341846
1993,552,41,1.452440055
1993,552,42,1.462920475
1993,552,61,1.715266556
1993,556,78,2.05569572
1993,556,85,2.239242121
1993,565,87,2.297319224
1993,569,147,6.125868633
1993,573,112,3.299749031
1993,579,70,1.878973966
1993,585,71,1.89933471
1993,601,119,3.699590244
1993,604,63,1.748787535
1993,608,62,1.731835147
1993,608,70,1.878973966
1993,613,153,6.8808423
1993,617,32,1.368173862
1993,617,56,1.637883254
1993,617,60,1.699073075
1993,617,64,1.766132613
1993,617,72,1.920167095
1993,617,78,2.05569572
1993,617,82,2.156964772
1993,617,82,2.156964772
1993,617,93,2.488397444
1993,629,0,1.176930195
1993,653,50,1.555992764
1993,673,55,1.623441714
1993,673,79,2.080150086
1993,673,79,2.080150086
1993,685,75,1.985604619
1993,685,122,3.891571136
1993,686,130,4.472934799
1993,709,0,1.176930195
1993,709,0,1.176930195
1993,709,0,1.176930195
1993,709,0,1.176930195
1993,709,0,1.176930195
1993,709,53,1.595532092
1993,709,54,1.609327128
1993,709,62,1.731835147
1993,709,96,2.59424457
1993,709,106,3.004510718
1993,709,122,3.891571136
1993,709,127,4.242355267
1993,720,39,1.432185666
1993,731,164,8.56551181
1993,751,87,2.297319224
1993,761,100,2.747174654
1993,774,56,1.637883254
1993,775,57,1.652659321
1993,805,125,4.097204715
1993,810,0,1.176930195
1993,810,0,1.176930195
1993,811,0,1.176930195
1993,811,0,1.176930195
1993,811,0,1.176930195
1993,811,0,1.176930195
1993,811,0,1.176930195
1993,811,0,1.176930195
1993,811,0,1.176930195
1993,816,45,1.495840984
1993,824,77,2.031794996
1993,824,88,2.327370609
1993,824,97,2.631173998
1993,824,127,4.242355267
1993,824,130,4.472934799
1993,833,118,3.638472101
1993,844,28,1.335947628
1993,844,50,1.555992764
1993,844,67,1.820616001
1993,844,68,1.839624929
1993,844,82,2.156964772
1993,844,102,2.829056024
1993,844,127,4.242355267
1993,844,130,4.472934799
1993,888,56,1.637883254
1993,902,47,1.51907858
1993,902,72,1.920167095
1993,905,30,1.351691819
1993,905,31,1.359838485
1993,905,58,1.667777663
1993,905,64,1.766132613
1993,905,139,5.267806521
1993,954,92,2.454700445
1993,960,53,1.595532092
1993,960,60,1.699073075
1993,960,97,2.631173998
1993,960,126,4.168949041
1993,1013,33,1.376702322
1993,1018,27,1.328341846
1993,1018,59,1.683246211
1993,1033,79,2.080150086
1993,1033,106,3.004510718
1993,1073,61,1.715266556
1993,1073,67,1.820616001
1993,1077,66,1.802037431
1993,1101,32,1.368173862
1993,1106,88,2.327370609
1993,1116,40,1.442196909
1993,1116,51,1.568871901
1993,1125,36,1.403491442
1993,1125,105,2.959129026
1993,1128,65,1.783879476
1993,1129,71,1.89933471
1993,1132,40,1.442196909
1993,1134,81,2.130771338
1993,1138,36,1.403491442
1993,1138,55,1.623441714
1993,1144,60,1.699073075
1993,1144,63,1.748787535
1993,1145,36,1.403491442
1993,1145,36,1.403491442
1993,1145,37,1.412838006
1993,1145,41,1.452440055
1993,1145,44,1.484615251
1993,1145,63,1.748787535
1993,1145,88,2.327370609
1993,1145,99,2.707618996
1993,1148,36,1.403491442
1993,1148,38,1.422401076
1993,1148,52,1.582049374
1993,1148,57,1.652659321
1993,1148,59,1.683246211
1993,1148,60,1.699073075
1993,1148,61,1.715266556
1993,1148,66,1.802037431
1993,1148,81,2.130771338
1993,1148,84,2.211185946
1993,1148,85,2.239242121
1993,1148,88,2.327370609
1993,1148,90,2.389577856
1993,1148,93,2.488397444
1993,1148,135,4.894245692
1993,1149,128,4.317461891
1993,1149,140,5.366666922
1993,1153,31,1.359838485
1993,1153,47,1.51907858
1993,1153,52,1.582049374
1993,1153,55,1.623441714
1993,1153,57,1.652659321
1993,1157,22,1.292819178
1993,1162,109,3.14706115
1993,1168,117,3.57873766
1993,1172,56,1.637883254
1993,1184,45,1.495840984
1993,1184,48,1.53110263
1993,1184,131,4.553382618
1993,1192,118,3.638472101
1993,1201,57,1.652659321
1993,1201,70,1.878973966
1993,1201,71,1.89933471
1993,1201,96,2.59424457
1993,1201,139,5.267806521
1993,1210,39,1.432185666
1993,1210,40,1.442196909
1993,1212,31,1.359838485
1993,1212,51,1.568871901
1993,1212,58,1.667777663
1993,1212,62,1.731835147
1993,1212,64,1.766132613
1993,1212,66,1.802037431
1993,1212,68,1.839624929
1993,1212,68,1.839624929
1993,1212,69,1.859074184
1993,1212,79,2.080150086
1993,1212,81,2.130771338
1993,1212,87,2.297319224
1993,1212,87,2.297319224
1993,1212,103,2.871424677
1993,1212,106,3.004510718
1993,1214,45,1.495840984
1993,1219,62,1.731835147
1993,1219,104,2.914774766
